"student_id","student_first_name","student_middle_name","student_last_name","student_mother_name","student_class","student_section","student_mob_no","student_email_id","student_aadhar_card_no","student_college_name","student_department_name","student_status","student_grade","student_address","student_address_postal_code","student_city_name","student_state_name","student_country_name","student_date_of_birth"
1,"Kyle","Melanie","Lee","Sabrina","9","A","4367121750","kyle.lee1@example.com","432141056732","Munoz-Ward College","Electronics","Active","B","874 Leonard Camp, Harrymouth, IN 33411","00714","Matthewshire","Montana","Australia","2000-02-19"
2,"Tina","Chad","Smith","Sarah","8","D","9164170710","tina.smith2@example.com","497947218860","Wright, Collins and King College","Civil","Inactive","D","PSC 0026, Box 1046, APO AE 02003","79464","Williamchester","Minnesota","Aruba","2003-08-30"
3,"Adam","Keith","Ortiz","Patricia","8","D","6637014491","adam.ortiz3@example.com","813580374706","Ward, Mosley and Hughes College","IT","Active","C","5129 Angela Garden, Chaseburgh, PA 76769","59206","South Andrea","Nevada","Niger","1999-08-24"
4,"Dorothy","Amanda","Spencer","Emily","12","D","4162865056","dorothy.spencer4@example.com","637270851193","Lopez Ltd College","Mechanical","Inactive","C","44121 Carol Grove, Burgessberg, AK 49640","76393","Lake Annettehaven","Missouri","Guatemala","2005-04-02"
5,"John","Krista","Reed","Kristine","9","C","5895559532","john.reed5@example.com","162899409106","Avila LLC College","Electrical","Inactive","A","6508 Jill Fort Apt. 087, West Michaelshire, IL 53073","56007","Lake Gloriamouth","Tennessee","Taiwan","2003-12-26"
6,"Robert","Stephanie","Morgan","Krystal","1","B","4974742466","robert.morgan6@example.com","844131648773","Hughes-Kent College","Electronics","Inactive","A","58794 Cooper Haven Suite 716, South Cheryl, OR 61879","46820","Lake Paul","Georgia","Colombia","2007-06-05"
7,"Timothy","Charles","Graham","Jennifer","12","C","2333180064","timothy.graham7@example.com","718838033319","Smith, Spears and Orozco College","Computer Science","Graduated","A","USNV Kim, FPO AE 73001","06799","Meganfort","Louisiana","Gibraltar","2004-10-14"
8,"Christopher","Dawn","Horton","Amber","10","C","0462253807","christopher.horton8@example.com","849664562346","Fritz-Hall College","Electrical","Inactive","B","5482 Linda Overpass, Lake Jose, IN 40000","00835","New Andrew","Florida","Liberia","2001-05-21"
9,"Angelica","Michele","Espinoza","Linda","12","C","3740601793","angelica.espinoza9@example.com","241480505806","Williams, Strickland and Rodriguez College","Electrical","Active","C","5927 Rhodes Wells, East Laura, ID 35766","26890","Brendanview","California","Cameroon","2002-08-17"
10,"Joseph","Michael","Myers","Kristen","11","A","2570166821","joseph.myers10@example.com","602282968607","Woods, Oconnor and Jacobs College","Mechanical","Active","A","756 Hughes Forges, Perezside, FL 59662","17550","Kennedystad","Connecticut","Cayman Islands","2004-11-06"
11,"Kevin","Samuel","Beck","Caitlyn","1","D","6417502550","kevin.beck11@example.com","602557231506","Thomas, Cantrell and Brown College","Mechanical","Graduated","A","538 Doris Islands Apt. 121, Katiefort, SC 51966","16112","Huntbury","California","Guernsey","2000-10-07"
12,"Brian","Ashley","Carpenter","Susan","9","B","4715353314","brian.carpenter12@example.com","979812360562","Dyer, Pearson and Ortiz College","Electronics","Inactive","C","887 Donald Junctions Suite 005, West Timothyland, AZ 26598","25829","West John","Colorado","Bouvet Island (Bouvetoya)","2007-11-25"
13,"Michael","Sandra","Moore","Christine","6","B","6438808407","michael.moore13@example.com","282968209467","Carter Group College","MBA","Inactive","B","81132 Wise Manors Suite 278, North Raymondborough, MO 18107","40286","East James","West Virginia","Switzerland","2003-10-23"
14,"Jean","Rose","Hood","Lori","3","A","1397399307","jean.hood14@example.com","805506842328","Freeman PLC College","Computer Science","Inactive","C","510 Mcguire Prairie Suite 315, Gallowaymouth, CO 57566","09351","Toddside","Iowa","Kenya","2001-11-17"
15,"Alexis","Adam","Williams","Emily","12","A","4196215289","alexis.williams15@example.com","440148950859","Ward, Cabrera and Perez College","IT","Inactive","C","783 Stacie Point, Lake Kevinfort, SC 38432","24985","Leblancmouth","Michigan","Iran","2002-11-13"
16,"Heidi","Mary","Johnson","Katherine","5","A","3770618833","heidi.johnson16@example.com","996997197161","Tyler, Conner and Taylor College","MBA","Active","C","2972 Christine Neck Apt. 746, Erikahaven, MS 83063","86545","Cassieton","Illinois","Antigua and Barbuda","2006-04-29"
17,"Michael","Michael","Hill","Linda","12","B","5834276403","michael.hill17@example.com","480779007790","Finley Ltd College","IT","Graduated","B","8413 Meghan Loop Suite 457, Jenniferview, NH 80835","46068","Spenceburgh","Nebraska","Macao","2001-10-20"
18,"Patricia","Patricia","Hayes","Lynn","2","C","4422794049","patricia.hayes18@example.com","738518626900","Rose, Garner and Boyd College","Electronics","Graduated","C","6989 Serrano Overpass Apt. 260, East Carolfurt, LA 26741","73928","Riveraburgh","Arkansas","Djibouti","2001-06-24"
19,"Dylan","Jeremy","Fernandez","Erika","1","C","8416853320","dylan.fernandez19@example.com","648039515281","Drake LLC College","IT","Active","A","707 Jimenez Park Suite 193, East Heather, MN 35304","25662","Calebshire","Wyoming","New Zealand","2004-12-24"
20,"Gregory","Nicole","Archer","Kelly","7","D","4715524995","gregory.archer20@example.com","296512614949","Warren-Welch College","Electronics","Inactive","D","806 Robinson Ville, New Susanhaven, VT 53605","26867","Port Kimberly","South Carolina","Turks and Caicos Islands","2006-11-14"
21,"Jamie","Darrell","Harvey","Brittany","8","C","6531520833","jamie.harvey21@example.com","814905791112","Bowers Ltd College","Computer Science","Graduated","A","805 Tanner Key, New Deborah, VA 23369","70636","Arielfurt","Idaho","Azerbaijan","2006-11-18"
22,"Edward","Kathryn","Mullen","Nicole","3","D","8889561002","edward.mullen22@example.com","973437291750","Cowan, Cortez and Johnson College","Civil","Graduated","C","71198 Matthew Stravenue Suite 337, Vargaston, NV 48037","89500","Lake Anthonytown","Maryland","Georgia","2006-05-18"
23,"Michael","Paula","Watson","Samantha","9","D","8369073924","michael.watson23@example.com","884053125865","Cortez LLC College","Civil","Active","C","PSC 3480, Box 0056, APO AA 30107","24215","West Jamieside","South Dakota","Wallis and Futuna","2007-04-07"
24,"Jose","Christian","Dunlap","Mary","4","A","2820092290","jose.dunlap24@example.com","450017126034","Mills Group College","MBA","Inactive","A","Unit 9632 Box 7410, DPO AA 58447","42363","West Larryport","Maryland","Guatemala","2002-06-05"
25,"Christopher","Carlos","Bennett","Amanda","3","B","5916137957","christopher.bennett25@example.com","662535464186","Spencer-Payne College","Mechanical","Active","B","PSC 5844, Box 5629, APO AP 90136","22222","North Karen","North Carolina","Vietnam","2007-02-16"
26,"Jonathan","Larry","Houston","Carol","8","A","5183447409","jonathan.houston26@example.com","106786359483","Wilson, Lloyd and Ramirez College","Civil","Active","C","415 Murray Radial Suite 086, Hamiltonmouth, TN 20782","49661","Lake Nathantown","Maryland","Albania","2000-08-18"
27,"Brittany","Mary","Franklin","Holly","12","B","7243150755","brittany.franklin27@example.com","329569583251","Gibson, Hall and Quinn College","Computer Science","Inactive","B","704 Micheal Lodge, Smithmouth, VT 93678","91862","Nicoleport","Florida","Venezuela","2004-10-26"
28,"Jennifer","Christine","Andersen","Kristina","5","C","7276427249","jennifer.andersen28@example.com","520481475468","Price-Lee College","Mechanical","Active","B","227 Morgan Camp, Toddbury, ID 14277","13188","West Michele","California","Malawi","2006-08-28"
29,"Alexandra","Tina","Nelson","Chelsea","1","D","2827093782","alexandra.nelson29@example.com","791503307216","Flynn Group College","Electrical","Active","C","1802 Amy Port, Lake Debra, NJ 77851","07432","Navarrobury","Maine","Malta","2007-01-18"
30,"Victoria","Linda","Khan","Allison","10","A","0304829444","victoria.khan30@example.com","662938276659","Hoffman-Wright College","Electrical","Inactive","A","PSC 8536, Box 9919, APO AA 70775","16151","Lake Cheryl","Kentucky","South Georgia and the South Sandwich Islands","2004-03-06"
31,"Aaron","Bryan","Torres","Michelle","7","A","4440035455","aaron.torres31@example.com","995989173437","Rodriguez, Calhoun and Pennington College","MBA","Inactive","D","231 Patrick Isle, Eugeneton, KS 26219","58693","Rodriguezland","Texas","Saint Lucia","2005-07-29"
32,"Michelle","Nicole","Maldonado","Lisa","8","B","0439238668","michelle.maldonado32@example.com","840087705252","Wilkerson-Reilly College","Mechanical","Active","D","0265 Fritz Forest, South Patrickbury, KS 91157","22663","New Thomasfurt","Texas","Singapore","2002-05-01"
33,"Matthew","Tracey","Lee","Carolyn","6","A","8858468597","matthew.lee33@example.com","211231042406","Wilson-May College","MBA","Graduated","C","Unit 7642 Box 0315, DPO AA 17672","41991","West Jamesville","Kentucky","Aruba","2006-01-17"
34,"Kevin","Jessica","Bradford","Michelle","6","C","0153578063","kevin.bradford34@example.com","864238517627","Jackson Group College","IT","Active","D","665 Travis Village Suite 607, East Joshuamouth, WA 14955","10465","Woodland","South Dakota","Equatorial Guinea","2003-06-10"
