student_id,student_first_name,student_middle_name,student_last_name,student_mother_name,student_class,student_section,student_Mob_No,student_email_id,student_section_duplicate,student_aadhar_card_no,student_college_name,student_department_name,student_status,student_grade,student_address,student_address_postal_code,student_city_name,student_state_name,student_country_name
4001,Charles,Alexander,Campbell,Tina,Class 10,F,1423284575,charles.campbell340@example.com,F,680156784808,City College,Electrical,Active,B,54344 Garcia Inlet Apt. 831,63060,Marshmouth,Montana,Malta
4002,Christopher,Morgan,Evans,Jennifer,Class 2,F,2336183066,christopher.evans5185@example.com,F,129007111188,National College,Civil,Graduated,C,32536 Abbott Skyway,06337,West Whitneytown,Kentucky,South Africa
4003,Adam,Lisa,Richardson,Mary,Class 4,A,2363252323,adam.richardson5534@example.com,A,965176478806,National College,Mathematics,Graduated,D,6225 Smith Mall,21512,Markbury,West Virginia,United Kingdom
4004,Teresa,Katherine,Gill,Jennifer,Class 3,B,8251108240,teresa.gill1738@example.com,B,691446412886,Modern Academy,Mechanical,Inactive,B,844 Timothy Hill Suite 640,57103,Port Erika,Minnesota,Spain
4005,Matthew,Mary,Russell,Carla,Class 9,H,8421378077,matthew.russell2065@example.com,H,411843204865,National College,Computer Science,Active,C,403 Allen Island Suite 023,28710,Yvonneport,Indiana,Comoros
4006,Sara,Kimberly,Hendricks,Dana,Class 12,A,3996998457,sara.hendricks3549@example.com,A,840583982242,National College,Mathematics,Graduated,D,23815 Robert Vista Suite 541,62428,South Chelsea,Minnesota,Kyrgyz Republic
4007,Bryan,Craig,Torres,Gloria,Class 4,B,7836164528,bryan.torres3081@example.com,B,694968916391,Modern Academy,Physics,Inactive,A,529 Kramer Summit Suite 743,30041,Theresabury,Delaware,Saint Barthelemy
4008,Kayla,Jason,King,Angela,Class 10,D,2585760094,kayla.king1131@example.com,D,467226339609,Tech University,Mathematics,Active,C,849 Stephen Neck Apt. 399,56183,West Lisa,South Dakota,Congo
4009,Rachel,Christine,Osborne,Samantha,Class 5,D,5844041702,rachel.osborne3900@example.com,D,382456300714,National College,Computer Science,Inactive,D,18149 Mejia Cape,82352,Williamston,Florida,Sao Tome and Principe
4010,Todd,Craig,Dixon,Emily,Class 3,G,0771050762,todd.dixon6477@example.com,G,429758982118,Tech University,Computer Science,Inactive,E,9602 Mckenzie Rest,12477,Port Jenniferstad,Minnesota,New Zealand
4011,Edward,Hannah,Fernandez,Sylvia,Class 11,E,9721501369,edward.fernandez185@example.com,E,869732756253,City College,Mathematics,Active,D,24392 Daniel Terrace Suite 537,67462,Hallmouth,New Mexico,Iraq
4012,Barbara,Jacqueline,Doyle,Janet,Class 7,F,9345856674,barbara.doyle224@example.com,F,215433348686,Tech University,Civil,Graduated,B,8596 Jones Locks Suite 886,14014,Lake Mikaylafurt,Michigan,Bouvet Island (Bouvetoya)
4013,Allison,George,Mathis,Diana,Class 12,D,0625871587,allison.mathis1357@example.com,D,619978661670,City College,Computer Science,Inactive,D,2776 Austin Rest Apt. 368,06995,Cookshire,Vermont,Nicaragua
4014,Stephanie,Eric,Harrison,Lauren,Class 8,A,7004895396,stephanie.harrison7755@example.com,A,620217451616,Global Institute,Civil,Active,E,289 Gregory Lock Suite 194,02281,North Frank,New Hampshire,Norway
4015,Kevin,Susan,Johnson,Karen,Class 10,C,4876284538,kevin.johnson4999@example.com,C,245097468171,Global Institute,Mechanical,Inactive,A,8551 Isaac Place,58692,Rebeccafurt,Nevada,Niue
4016,Stacey,Ethan,Perry,Mia,Class 12,G,2495896065,stacey.perry6404@example.com,G,511764288340,Modern Academy,Civil,Graduated,D,632 Christina Squares,65369,Port Theresa,California,Tajikistan
4017,Donna,Shane,Perez,Heather,Class 4,F,0603132148,donna.perez182@example.com,F,654736523606,Modern Academy,Biotech,Active,A,3204 Lewis Radial Suite 214,32541,Port Lawrence,Michigan,Saint Lucia
4018,Alexander,David,Ortiz,Michelle,Class 10,G,4183572821,alexander.ortiz9098@example.com,G,716199420127,Global Institute,Mechanical,Graduated,A,78834 Simpson Villages,89200,Lake Mitchell,North Dakota,Lithuania
4019,Angelica,Shirley,Flores,Catherine,Class 9,B,6650408964,angelica.flores5089@example.com,B,157741740420,National College,Biotech,Graduated,B,969 Patrick Shoal Apt. 661,80653,Adamsfurt,Connecticut,Mauritius
4020,John,Terri,Perez,Stephanie,Class 12,C,5327729203,john.perez4726@example.com,C,279531815232,Tech University,Computer Science,Inactive,A,72402 Matthew Falls Apt. 118,10813,Christymouth,Colorado,Argentina
4021,Elizabeth,Joshua,Jarvis,Chelsea,Class 6,B,5225733122,elizabeth.jarvis492@example.com,B,483546826258,National College,Mathematics,Inactive,C,974 John Ports,91925,South Williamburgh,Texas,Ethiopia
4022,Lauren,Greg,Williams,Kathryn,Class 6,F,1426278975,lauren.williams7923@example.com,F,106760200753,National College,Physics,Inactive,E,26333 Watson Highway,52579,New Jasminburgh,New Hampshire,Ireland
4023,Jason,Michelle,Johnson,Diana,Class 12,H,3211469215,jason.johnson9410@example.com,H,514575831157,Modern Academy,Civil,Active,D,9227 Harding Haven Apt. 512,83458,New Patty,New Hampshire,Russian Federation
4024,Todd,Jerry,Cross,Elizabeth,Class 9,C,3046834096,todd.cross5051@example.com,C,071839827369,City College,Mathematics,Inactive,D,511 Charles Spur Suite 227,68177,Jacobsfurt,Delaware,China
4025,Paul,Dawn,Andrews,Heather,Class 7,E,6630949751,paul.andrews603@example.com,E,385931384489,Global Institute,Biotech,Active,C,790 Fowler Flats Suite 785,55884,Jacobland,Tennessee,Vietnam
4026,Richard,Brandon,Ferguson,Andrea,Class 3,C,2649467780,richard.ferguson2880@example.com,C,328295376981,Modern Academy,Mechanical,Inactive,E,738 Graham Drive Apt. 523,38870,East Ann,Wyoming,French Polynesia
4027,Kevin,Kelly,Gomez,Samantha,Class 7,C,6632480672,kevin.gomez5362@example.com,C,175649170976,Modern Academy,Computer Science,Active,D,9683 Strickland Mountain Apt. 372,52457,Lake Amandaville,Florida,Gabon
4028,Kevin,Denise,Stevens,Joan,Class 9,D,8705763428,kevin.stevens3891@example.com,D,868297565147,Modern Academy,Physics,Inactive,D,9287 Jones Locks,67893,Petersonberg,New Mexico,Senegal
4029,Thomas,Heather,Valdez,Judy,Class 12,E,3925643524,thomas.valdez2214@example.com,E,829015936374,City College,Civil,Active,C,02295 Jason Dam Suite 594,06696,New Courtneyville,Oklahoma,South Georgia and the South Sandwich Islands
4030,James,Russell,Barrett,Jordan,Class 9,D,0748166196,james.barrett7381@example.com,D,270329506949,National College,Computer Science,Inactive,D,567 Patricia View Suite 452,69521,Randytown,South Carolina,Afghanistan
4031,Matthew,Tommy,Martin,Samantha,Class 4,B,3996838323,matthew.martin7701@example.com,B,942137383351,City College,Physics,Inactive,E,879 Barker Throughway,03067,Port Michael,New Mexico,Lithuania
4032,Bobby,Phillip,Scott,Tracy,Class 11,E,4149790852,bobby.scott1179@example.com,E,043743443334,Tech University,Electrical,Active,A,85282 Walter Spurs Suite 236,35452,North Carolineside,Nebraska,Serbia
4033,Amanda,Alexander,Greene,Sandra,Class 11,C,9922094831,amanda.greene7322@example.com,C,532412679655,National College,Physics,Inactive,B,1930 Thompson Flat Apt. 948,55846,North Maria,South Carolina,China
4034,Jose,Dennis,Hernandez,Mary,Class 10,F,5085801783,jose.hernandez2086@example.com,F,625683812602,National College,Electrical,Active,A,59731 Payne Estate Suite 722,70083,Ramirezport,Missouri,Kyrgyz Republic
4035,Amy,Anthony,Solomon,Angela,Class 10,G,5047543519,amy.solomon3331@example.com,G,576156394366,Modern Academy,Civil,Graduated,A,73978 Whitney Mountain Suite 771,94199,Kirbyland,New Hampshire,Saint Barthelemy
4036,Thomas,Michael,Watkins,Mary,Class 5,E,7450006176,thomas.watkins6118@example.com,E,683655509360,Modern Academy,Civil,Active,B,10789 Thompson Springs,70616,Ramosshire,New York,Moldova
4037,Danielle,Stacy,Moore,Lisa,Class 12,C,2798018626,danielle.moore785@example.com,C,641990659128,Tech University,Mechanical,Active,D,305 Donna Drives,97486,Port Richardmouth,Louisiana,Burundi
4038,Brandi,Pamela,Steele,Jennifer,Class 3,B,5851618421,brandi.steele7497@example.com,B,053600006780,City College,Biotech,Active,E,16970 Johnson Junction Suite 342,42710,West Sydneybury,New Jersey,Albania
4039,Brandon,Andrew,Mcdowell,Julie,Class 7,E,8576833815,brandon.mcdowell7371@example.com,E,482971822683,Global Institute,Electrical,Graduated,C,044 Villegas Centers Apt. 584,32911,Rushview,Vermont,Nicaragua
4040,Lindsey,Tiffany,Campbell,Ashley,Class 3,H,7161027646,lindsey.campbell5863@example.com,H,123125103986,Global Institute,Biotech,Active,A,3959 Michael Fields Apt. 458,04896,South Kathryn,New York,Gabon
4041,Richard,Michael,Marquez,Tara,Class 4,E,4601451704,richard.marquez3410@example.com,E,102325446813,Modern Academy,Biotech,Active,B,324 Janice Villages Apt. 034,23794,East Victoria,Hawaii,Costa Rica
4042,David,Seth,Rivers,Suzanne,Class 10,H,5297196237,david.rivers144@example.com,H,215409040981,Tech University,Mechanical,Graduated,D,08169 Sanchez Road,02531,North Kendrastad,Arizona,Bosnia and Herzegovina
4043,Patricia,Kim,Moore,Elizabeth,Class 9,H,6262613649,patricia.moore3089@example.com,H,633923835514,City College,Physics,Graduated,E,7103 Smith Overpass,59618,Jamiemouth,Wisconsin,Tunisia
4044,Virginia,Shannon,Chavez,Christina,Class 1,C,8461143886,virginia.chavez932@example.com,C,996449548010,Tech University,Biotech,Inactive,D,109 Martinez Pass Suite 235,92767,Pamelastad,Illinois,Panama
4045,Antonio,Kristen,Brown,Deborah,Class 9,H,1330574701,antonio.brown9717@example.com,H,071605138572,Modern Academy,Electrical,Graduated,C,1009 Chung Stravenue Suite 086,04100,Johnberg,Missouri,Indonesia
4046,Sarah,Dalton,Hernandez,Alexandra,Class 7,H,5911473356,sarah.hernandez6359@example.com,H,948479435916,City College,Electrical,Graduated,B,51322 Clark Flat Suite 165,24689,Nicholasport,Nevada,Bermuda
4047,Rachel,Crystal,Thompson,Danielle,Class 1,G,7549661390,rachel.thompson9962@example.com,G,693590169155,Modern Academy,Civil,Graduated,D,98421 Rivas Trace Suite 290,12487,Jonesberg,Nevada,Papua New Guinea
4048,Gregg,Lee,Adams,Alexandra,Class 9,F,7603807291,gregg.adams6446@example.com,F,729129881482,Modern Academy,Mathematics,Active,C,178 Charles Hills Suite 925,68169,North Kathleenville,Georgia,New Zealand
4049,Brent,Tamara,Howell,Debbie,Class 10,C,1012216031,brent.howell9507@example.com,C,286055120410,National College,Electrical,Graduated,A,31912 Wright Wall,66661,South Douglas,Delaware,Bosnia and Herzegovina
4050,Stephanie,Allison,Castro,Theresa,Class 2,A,4927598649,stephanie.castro9255@example.com,A,341812993020,Global Institute,Mathematics,Active,D,20093 Jeremy Lock,05342,Cameronville,Minnesota,Malawi
4051,Randall,Gregory,Greene,Patricia,Class 10,H,8476003198,randall.greene8325@example.com,H,758832679807,Global Institute,Physics,Graduated,E,17955 Sean Squares Suite 095,99919,Port William,Florida,Turks and Caicos Islands
4052,Joseph,Tonya,Martin,Jennifer,Class 12,A,6454990134,joseph.martin5780@example.com,A,025624039101,Tech University,Mechanical,Inactive,C,905 Wagner Lights,61971,Cardenasville,Maine,Malta
4053,Kathryn,Jillian,Clark,Elizabeth,Class 8,B,1271184499,kathryn.clark1373@example.com,B,812798090744,City College,Mechanical,Active,C,530 Long Crest,43494,Jamestown,South Carolina,United States of America
4054,Richard,Judy,Montoya,Shari,Class 11,C,5780639231,richard.montoya3771@example.com,C,761681582111,Tech University,Computer Science,Inactive,A,5948 Heather Oval,89366,West Nicoletown,Arkansas,Slovenia
4055,Steven,Jeffrey,Owens,Olivia,Class 8,E,1826112415,steven.owens5755@example.com,E,685791743245,Modern Academy,Electrical,Active,D,21647 Jeffrey Locks Apt. 771,46300,Port Lauramouth,Texas,Kiribati
4056,Samantha,Tyler,Morris,Susan,Class 9,C,9805406151,samantha.morris3744@example.com,C,669702644197,National College,Civil,Inactive,A,9133 Joseph Coves Apt. 841,85354,West Jessicatown,Florida,Bangladesh
4057,Jennifer,Matthew,Hart,Sylvia,Class 10,C,3073742839,jennifer.hart2813@example.com,C,522149119259,National College,Civil,Graduated,B,309 Kelly Oval Suite 699,75441,North Lisabury,Mississippi,Kazakhstan
4058,Robert,Tricia,Garcia,Carmen,Class 4,B,1512701220,robert.garcia9744@example.com,B,956078509873,National College,Mechanical,Active,C,438 John Rest,24310,Port Edward,Indiana,Oman
4059,Jeffrey,Karen,Harris,Lauren,Class 5,E,9304225909,jeffrey.harris9102@example.com,E,146594269154,Global Institute,Physics,Active,A,51961 Matthew Falls Apt. 663,80753,North Patriciaview,Minnesota,Equatorial Guinea
4060,Amanda,Matthew,Carter,Tammy,Class 3,D,9551983410,amanda.carter9655@example.com,D,520354520986,Modern Academy,Civil,Inactive,D,0462 William Wells,06809,South Josephhaven,Iowa,Slovenia
4061,Danielle,Tina,Davis,Misty,Class 6,E,0969192068,danielle.davis8944@example.com,E,093209553620,Global Institute,Electrical,Graduated,E,295 Lowery Field Apt. 906,00779,Matthewfort,Iowa,Cayman Islands
4062,Rebecca,Maria,Henson,Dawn,Class 6,H,9013068022,rebecca.henson9241@example.com,H,220436325929,City College,Civil,Inactive,A,308 Paul Fields Suite 029,93486,North Phillip,New York,Angola
4063,Katherine,Cynthia,Brown,Brandy,Class 5,C,5496527981,katherine.brown2948@example.com,C,144674445652,Global Institute,Biotech,Graduated,C,90566 Jeffrey Gateway,77056,Juliafort,Illinois,British Virgin Islands
4064,Lisa,Kyle,Fisher,Robin,Class 3,F,0504661395,lisa.fisher6251@example.com,F,415059635421,Modern Academy,Electrical,Graduated,C,6957 Davis Square Apt. 352,38906,West Robert,Arkansas,Grenada
4065,Amanda,Tina,Miller,Margaret,Class 4,A,8656436203,amanda.miller71@example.com,A,804892123656,Global Institute,Biotech,Active,A,004 John Turnpike,72613,West Jacob,Arizona,Mayotte
4066,Andrea,Edwin,Schroeder,Katrina,Class 10,C,4742848207,andrea.schroeder9875@example.com,C,752826652778,Global Institute,Electrical,Active,D,223 Choi Shoals,46632,South Laura,Iowa,Libyan Arab Jamahiriya
4067,Theresa,Alyssa,Avila,Mary,Class 1,D,5147353933,theresa.avila7568@example.com,D,461588468004,National College,Electrical,Graduated,E,36229 Matthew Hollow Apt. 990,20220,Port Lindseytown,Rhode Island,Micronesia
4068,Colin,Sarah,Robertson,Megan,Class 12,D,4243417205,colin.robertson7677@example.com,D,939043538676,National College,Physics,Graduated,A,1565 Daniel Spurs Apt. 325,59097,Port Gerald,South Dakota,Peru
4069,Amy,Joshua,Cruz,Crystal,Class 6,F,2300837719,amy.cruz9478@example.com,F,776159557490,City College,Mathematics,Inactive,B,8271 Barbara Harbor,13830,North Dianemouth,Georgia,Cape Verde
4070,Lisa,Michael,Vang,Desiree,Class 4,A,0329704057,lisa.vang725@example.com,A,012539557396,National College,Civil,Active,B,077 David Parkway,15382,Port Joanne,Arizona,Croatia
4071,Danielle,Ashley,Hayes,Lisa,Class 7,F,2756698648,danielle.hayes7300@example.com,F,451086663523,National College,Mechanical,Inactive,C,067 Collins Field,05911,Lake Lorrainehaven,Wisconsin,Kyrgyz Republic
4072,Abigail,Alice,Thomas,Haley,Class 2,C,6678420870,abigail.thomas2789@example.com,C,340407965687,Tech University,Electrical,Inactive,D,9213 Rosales Villages,18933,East Devin,Arkansas,Philippines
4073,Robin,Rachel,Burch,Gabriella,Class 3,H,3802021136,robin.burch7297@example.com,H,512467953938,Global Institute,Civil,Graduated,E,6280 Michael Landing,69579,East Elizabethshire,Tennessee,Cape Verde
